"","rownames.downRegulated_DEGs.","expres"
"IL13RA1","IL13RA1",3.18446660188458
"XIAP","XIAP",2.78979171736645
"VGLL1","VGLL1",2.49254402120712
"FGF13","FGF13",2.95227662790053
"AC244197.3","AC244197.3",2.52313735934507
"MTMR1","MTMR1",2.98788229798267
"FAM223A","FAM223A",2.17936695817703
"FAM223B","FAM223B",2.17936695817703
"DKC1","DKC1",3.14631252454582
"VBP1","VBP1",2.94091011116692
"RBFOX2","RBFOX2",2.80343315180983
"DGCR8","DGCR8",2.89024244562339
"CRKL","CRKL",3.07087349471347
"FLRT3","FLRT3",2.53412258118393
"ITCH","ITCH",3.13326686627649
"MYH9","MYH9",3.30676070353161
"FO393418.1","FO393418.1",2.25800527790248
"TOP1","TOP1",3.37710829460641
"RNF114","RNF114",3.34800173416411
"PFDN4","PFDN4",2.97534522579758
