,GSM4731601,GSM4731602,GSM4731603,GSM4731604,GSM4731605,GSM4731606,GSM4731607,GSM4731608,GSM4731609,GSM4731610,GSM4731611,GSM4731612,GSM4731613,GSM4731614,GSM4731615,GSM4731616,GSM4731617,GSM4731618
NIPSNAP3A,6.11521096,5.772324851,6.343790563,5.855994422,5.959633702,6.003893345,5.787865488,5.996733982,6.098067626,6.136130236,6.220687684,5.771625102,5.522399897,5.472208674,5.263504341,5.703971891,5.563716375,5.331505609
EBP,8.826870023,8.740316305,8.115586098,8.559240669,7.994265361,8.749590821,8.573343427,8.531856117,8.119848758,8.607502926,8.502013094,7.98383223,7.802998853,7.339372434,7.340081391,7.537728609,7.252981764,7.911987866
PTPN3,8.837627326,8.768459427,8.828632022,8.824674675,8.413935936,8.617082563,8.602476214,8.80286214,8.690722662,8.685674074,8.66314872,8.460205846,8.015466265,7.933000756,8.141919355,8.103139817,7.926412423,7.732879063
AL390067.1,4.192245657,4.192638769,4.120060065,4.151564238,4.283147477,4.194683815,4.412249007,4.267874123,4.191073615,4.20923575,4.12983699,4.340453723,4.332930618,4.226533046,4.25985292,3.977941212,4.027180683,3.972720278
WDR31,4.019857166,3.731241874,3.652542952,3.703082536,3.766401663,3.743789612,3.998992106,4.371678906,3.776083033,4.141813277,4.166598302,3.994803801,4.306877628,4.101156213,4.129343774,4.25095062,4.083545153,4.096630126
POLE3,9.601729731,9.452579344,9.32812393,9.595837998,9.470747285,9.562283463,9.356534862,9.459975098,9.319641686,9.506260729,9.492940748,9.289978237,9.581215079,9.716466244,10.02900164,9.633709472,9.849400654,10.02150056
GAGE10,2.771609068,2.885508775,2.889310131,2.892227148,3.005538491,2.816704121,2.796997959,2.795718781,3.048637466,2.721117636,2.642508859,2.842523664,2.950288288,3.95345793,3.60636242,2.977976551,2.783239368,2.861051243
GAGE12J,2.771609068,2.885508775,2.889310131,2.892227148,3.005538491,2.816704121,2.796997959,2.795718781,3.048637466,2.721117636,2.642508859,2.842523664,2.950288288,3.95345793,3.60636242,2.977976551,2.783239368,2.861051243
GAGE13,2.771609068,2.885508775,2.889310131,2.892227148,3.005538491,2.816704121,2.796997959,2.795718781,3.048637466,2.721117636,2.642508859,2.842523664,2.950288288,3.95345793,3.60636242,2.977976551,2.783239368,2.861051243
GAGE2E,2.771609068,2.885508775,2.889310131,2.892227148,3.005538491,2.816704121,2.796997959,2.795718781,3.048637466,2.721117636,2.642508859,2.842523664,2.950288288,3.95345793,3.60636242,2.977976551,2.783239368,2.861051243
GAGE12C,2.771609068,2.885508775,2.889310131,2.892227148,3.005538491,2.816704121,2.796997959,2.795718781,3.048637466,2.721117636,2.642508859,2.842523664,2.950288288,3.95345793,3.60636242,2.977976551,2.783239368,2.861051243
GAGE12D,2.771609068,2.885508775,2.889310131,2.892227148,3.005538491,2.816704121,2.796997959,2.795718781,3.048637466,2.721117636,2.642508859,2.842523664,2.950288288,3.95345793,3.60636242,2.977976551,2.783239368,2.861051243
GAGE12F,2.771609068,2.885508775,2.889310131,2.892227148,3.005538491,2.816704121,2.796997959,2.795718781,3.048637466,2.721117636,2.642508859,2.842523664,2.950288288,3.95345793,3.60636242,2.977976551,2.783239368,2.861051243
